service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
001_024_S,0,0,0,0,0,1,0,20250104,20251227
001_026_LMXJV,1,1,1,1,1,0,0,20250102,20251231
002_024_S,0,0,0,0,0,1,0,20250104,20251227
002_026_LMXJV,1,1,1,1,1,0,0,20250102,20251231
003_026_LMXJV,1,1,1,1,1,0,0,20250102,20251231
004_026_LMXJV,1,1,1,1,1,0,0,20250102,20251231
008_025_LXJVSD,1,0,1,1,1,1,1,20250101,20251228
009_026_LMXJV,1,1,1,1,1,0,0,20250102,20251231
012_024_S,0,0,0,0,0,1,0,20250104,20251227
012_026_LMXJV,1,1,1,1,1,0,0,20250102,20251231
